"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"3016","60769851","鑫鴻能源有限公司","臺中市龍井區龍津里蚵寮路251巷312號","王宏仁","300000","1140528"
"3017","60769867","沐空簡奔有限公司","臺中市豐原區永安街42之1號","林崇澤","100000","1140528"
"3018","60769873","映恆股份有限公司","臺中市西區民龍里臺灣大道二段186號24樓之3","陳瑞寧","1000000","1140528"
"3019","60769888","四季生鮮農場股份有限公司","臺中市西屯區市政路386號8樓之7","鐘子淵","1000000","1140528"
"3020","60769894","錸溢國際物流有限公司","臺中市西區公益路174巷66號4樓","紀文田","200000","1140528"
"3021","60769901","台灣珠寶藝術鑑定評估有限公司","臺中市西區中興街183號4樓之1","葉曼莎","300000","1140528"
"3022","60769917","釩諾娛樂有限公司","臺中市龍井區忠和里工業路188巷26之1號","王鈞緯","1000000","1140528"
"3023","60769923","富維樂控股股份有限公司","臺中市西屯區福和里臺灣大道四段925號18樓之6","余孟萱","866600","1140528"
"3024","60769938","圓夢創意科技有限公司","臺中市神岡區大明路28巷101號","羅仁傑","200000","1140528"
"3025","60769959","久違餐飲股份有限公司","臺中市北屯區文心路四段955號12樓之1","王子維","2000000","1140528"
"3026","60769965","寧璞生醫股份有限公司","臺中市西屯區上安里臺灣大道三段590號25樓之7","王子杰","9000000","1140528"
"3027","60769971","煜城營造有限公司","臺中市梧棲區四維東路116號3樓之16","陳清煜","3600000","1140528"
"3028","60769986","湁洋股份有限公司","臺中市西屯區市政路626號","顏翊晴","1000000","1140528"
"3029","60769992","俐信國際股份有限公司","臺中市北區頂厝里進化北路238號8樓之1","吳昌璟","200000","1140528"
"3030","60770007","陞邑精密有限公司","臺中市大里區東湖里忠孝路132巷6號","陳怡璇","5000000","1140528"
"3031","60770013","蓓琳國際貿易有限公司","臺中市太平區永成里太平七街80號","李家緯","500000","1140528"
"3032","60770029","名緻有限公司","臺中市太平區永豐路108巷38號","林怡萱","50000","1140528"
"3033","60770034","亞大運動休閒股份有限公司","臺中市南屯區忠勇路12-23號5樓","江亞恩","1000000","1140528"
"3034","60770040","鑫豪投資有限公司","臺中市南屯區大業里大墩路702號","方宏","500000","1140528"
"3035","60770055","佳德育樂有限公司","臺中市大里區新里里上田街96巷12號","何鈺麒","1000000","1140528"
"3036","60770153","杏恩股份有限公司","臺中市北區邱厝里大義街9號2樓","姚銘忠","3000000","1140529"
"3037","60770175","茗震水電工程有限公司","臺中市大里區新里里爽文路538巷68弄2號1樓","林政吉","5000000","1140529"
"3038","60770196","烏拓邦環境有限公司","臺中市太平區德隆里華安街130號1樓","吳瑋桓","300000","1140529"
"3039","60770219","美的室研所室內裝修股份有限公司","臺中市北屯區平心里昌平路一段95之8號6樓之2","沈昱呈","1050000","1140529"
"3040","60770251","軒畇國際股份有限公司","臺中市西屯區何安里重慶路99號5樓之3","盧宗煒","3000000","1140529"
"3041","60780032","鄔華強有限公司","新北市新店區百忍街17巷3號(1樓)","鄔承翰","2000000","1140501"
"3042","60780201","地傑攝造有限公司","新北市汐止區大同路2段621號(2樓)","劉人傑","3000000","1140501"
"3043","60780259","隆麗科技有限公司","新北市泰山區明志路3段142巷77號3樓","楊麗雯","100000","1140501"
"3044","60780271","紳悅塑鋼傢俱有限公司","新北市淡水區新春街190號28樓之6","蕭邦宇","950000","1140501"
"3045","60780315","錢龜有限公司","新北市樹林區學成路663號4樓","侯冠宇","1000000","1140501"
"3046","60780321","迦洋有限公司","新北市板橋區文化路2段285號21樓","李佳軒","300000","1140501"
"3047","60780429","大新健康有限公司","新北市三重區重安街32號","王宜庭","500000","1140501"
"3048","60780434","黎氏越南美食有限公司","新北市新莊區自信街75巷11號2樓","黎氏春","700000","1140501"
"3049","60780440","無有文化有限公司","新北市板橋區中山路2段62號6樓之7","周已敦","100000","1140501"
"3050","60780455","飛訊舞蹈事業有限公司","新北市三重區重新路1段50號5樓","高宇","250000","1140501"
"3051","60780461","喜力有限公司","新北市新店區北新路2段177之1號3樓","郭昱昕","1000000","1140501"
"3052","60780477","軒滿樓有限公司","新北市五股區新五路3段25號3樓","邱茂鐘","1500000","1140501"
"3053","60780482","悟思饗樂有限公司","新北市三重區中正南路193號","邵佳羚","400000","1140501"
"3054","60780498","音藝國際有限公司","新北市汐止區大同路3段613號22樓之8","陳家豪","1000000","1140501"
"3055","60780504","刁民萊斯峻餐飲有限公司","新北市板橋區中山路1段21之1號(1樓)","林峻淵","2000000","1140501"
